Categoria,Título,Caminho,URL Completa,Breadcrumb,Source
acoes-sid,SID.Cli.ExcluirDefinicoes - Excluir Definições Do Cliente,/acoes-sid/sid-cli-excluirdefinicoes.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-excluirdefinicoes.htm,,chunk_0
acoes-sid,SID.Cli.ExcluirEndCobranca - Excluir Endereço De Cobrança,/acoes-sid/sid-cli-excluirendcobranca.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-excluirendcobranca.htm,,chunk_0
acoes-sid,SID.Cli.ExcluirEndEntrega - Excluir Endereço De Entrega,/acoes-sid/sid-cli-excluirendentrega.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-excluirendentrega.htm,,chunk_0
acoes-sid,SID.Cli.ExcluirPesFisica - Excluir Dados Pessoa Física,/acoes-sid/sid-cli-excluirpesfisica.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-excluirpesfisica.htm,,chunk_0
acoes-sid,SID.Cli.ExcluirPesJuridica - Excluir Dados Pessoa Jurídica,/acoes-sid/sid-cli-excluirpesjuridica.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-excluirpesjuridica.htm,,chunk_0
acoes-sid,SID.Cli.Gravar - Gravar Cliente (Incluir/alterar),/acoes-sid/sid-cli-gravar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravar.htm,,chunk_0
acoes-sid,SID.Cli.GravarContato - Gravar Contato Do Cliente (Incluir/alterar),/acoes-sid/sid-cli-gravarcontato.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravarcontato.htm,,chunk_0
acoes-sid,SID.Cli.GravarDefinicoes - Gravar Definições Do Cliente (Incluir/alterar),/acoes-sid/sid-cli-gravardefinicoes.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravardefinicoes.htm,,chunk_0
acoes-sid,SID.Cli.GravarEndCobranca - Gravar Endereço De Cobrança,/acoes-sid/sid-cli-gravarendcobranca.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravarendcobranca.htm,,chunk_0
acoes-sid,SID.Cli.GravarEndEntrega - Gravar Endereço De Entrega,/acoes-sid/sid-cli-gravarendentrega.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravarendentrega.htm,,chunk_0
acoes-sid,SID.Cli.GravarPesFisica - Gravar Dados Pessoa Física (Incluir/alterar),/acoes-sid/sid-cli-gravarpesfisica.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravarpesfisica.htm,,chunk_0
acoes-sid,SID.Cli.GravarPesJuridica - Gravar Dados Pessoa Jurídica (Incluir/alterar),/acoes-sid/sid-cli-gravarpesjuridica.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cli-gravarpesjuridica.htm,,chunk_0
acoes-sid,SID.Cot.Gravar (SCCP) - Gravar Cotação,/acoes-sid/sid-cot-gravar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-cot-gravar.htm,,chunk_0
acoes-sid,SID.Ctb.Integrar (CCCT) - Integração Contábil,/acoes-sid/sid-ctb-integrar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-ctb-integrar.htm,,chunk_0
acoes-sid,SID.Est.AtenderRequisicao (SERE) - Atender Requisição,/acoes-sid/sid-est-atenderrequisicao.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-atenderrequisicao.htm,,chunk_0
acoes-sid,SID.Est.BuscarEstoqueDisp (SECE) - Buscar Estoque Disponível,/acoes-sid/sid-est-buscarestoquedisp.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-buscarestoquedisp.htm,,chunk_0
acoes-sid,SID.Est. BuscarEstoqueGrade (Sece) - Buscar Estoque Grade,/acoes-sid/sid-est-buscarestoquegrade.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-buscarestoquegrade.htm,,chunk_0
acoes-sid,SID.Est.BuscarPrecoMedio (SECE) - Buscar Preço Médio,/acoes-sid/sid-est-buscarprecomedio.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-buscarprecomedio.htm,,chunk_0
acoes-sid,SID.Est.ConfirmarConferEmb (SECE) - Confirmar Conferência Da Embalagem,/acoes-sid/sid-est-confirmarconferemb.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-confirmarconferemb.htm,,chunk_0
acoes-sid,SID.Est.ExcluirMovimento (SECE) - Excluir Movimento De Estoque,/acoes-sid/sid-est-excluirmovimento.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-excluirmovimento.htm,,chunk_0
acoes-sid,SID.Est.ExcluirRequisicao (SERE) - Excluir Requisição,/acoes-sid/sid-est-excluirrequisicao.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-excluirrequisicao.htm,,chunk_0
acoes-sid,SID.Est.ExcluirSolCompra (SCSC) - Excluir Solicitação De Compra,/acoes-sid/sid-est-excluirsolcompra.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-excluirsolcompra.htm,,chunk_0
acoes-sid,SID.Est.GravarRateioRequisicao (SERE) - Gravar Rateio Requisição,/acoes-sid/sid-est-gravarrateiorequisicao.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-gravarrateiorequisicao.htm,,chunk_0
acoes-sid,SID.Est.GravarSolCompra (SCSC) - Gravar Solicitação De Compra (Incluir/alterar),/acoes-sid/sid-est-gravarsolcompra.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-gravarsolcompra.htm,,chunk_0
acoes-sid,SID.Est.ListarItensEmbalagem (SECE) - Listar Itens Da Embalagem,/acoes-sid/sid-est-listaritensembalagem.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-listaritensembalagem.htm,,chunk_0
acoes-sid,SID.Est.Movimentar (SECE) - Movimentar Estoque,/acoes-sid/sid-est-movimentar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-movimentar.htm,,chunk_0
acoes-sid,SID.Est.PAFECFEstoqueVarejo (Ivme) - Estoque PAF/ECF (Varejo),/acoes-sid/sid-est-pafecfestoquevarejo.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-pafecfestoquevarejo.htm,,chunk_0
acoes-sid,SID.Est.Requisitar (SERE) - Gerar Requisição,/acoes-sid/sid-est-requisitar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-est-requisitar.htm,,chunk_0
acoes-sid,SID.For.Excluir - Excluir Fornecedor,/acoes-sid/sid-for-excluir.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-for-excluir.htm,,chunk_0
acoes-sid,SID.For.ExcluirDefinicoes - Excluir Definições Do Fornecedor,/acoes-sid/sid-for-excluirdefinicoes.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-for-excluirdefinicoes.htm,,chunk_0
acoes-sid,SID.For.Gravar - Gravar Fornecedor (Incluir/alterar),/acoes-sid/sid-for-gravar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-for-gravar.htm,,chunk_0
acoes-sid,SID.For.GravarDefinicoes - Gravar Definições Do Fornecedor (Incluir/alterar),/acoes-sid/sid-for-gravardefinicoes.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-for-gravardefinicoes.htm,,chunk_0
